tpep_pickup_datetime,DailyTripCount,TotalDailyRevenue,AverageDailyDistance,TotalDailyPassenger,AverageDailyDuration,AverageDailySpeed,AverageDailyFare,DailyTipAmount,DailyTollsAmount,TotalDailyAirportFee,TotalDailyExtra,TotalDailyMTATax,TotalDailyImprovementSurcharge,AverageDailyCongestionSurcharge
2022-04-01,29,605.9300000000001,3.564137931034483,37.0,15.10689655172414,11.938116803831473,14.03448275862069,67.08,19.65,5.0,47.75,14.5,8.7,2.3275862068965516
2022-04-02,30,720.6899999999999,3.822,48.0,40.949444444444445,13.261375988486241,17.496666666666666,87.04,16.1,1.25,13.0,13.0,8.4,2.066666666666667
2022-04-03,28,559.01,4.658928571428571,36.0,16.866666666666667,14.423537826630792,13.571428571428571,70.81,19.65,1.25,17.75,13.0,7.8,2.2142857142857144
2022-04-04,43,918.34,2.8560465116279072,63.0,13.084496124031007,12.302707701717893,13.918604651162791,125.29,38.4,1.25,48.5,21.0,12.9,2.383720930232558
2022-04-05,34,511.03000000000003,1.8773529411764704,52.0,10.249509803921569,10.669062950703733,9.102941176470589,73.83,0.0,0.0,38.0,17.0,10.2,2.485294117647059
2022-04-06,42,1000.0699999999999,3.9602380952380956,61.0,16.11746031746032,12.95758719915145,15.492857142857144,144.92,45.85,5.0,42.5,21.0,12.6,2.4166666666666665
2022-04-07,37,557.83,1.732972972972973,53.0,10.785585585585585,10.118528247780056,9.243243243243244,72.92999999999999,6.55,1.25,36.75,18.5,11.1,2.364864864864865
2022-04-08,36,829.94,3.7538888888888886,47.0,16.99398148148148,12.026205127400763,15.282499999999999,118.07,31.4,5.0,39.5,17.5,10.799999999999999,2.3333333333333335
2022-04-09,38,816.91,3.7047368421052633,71.0,16.478070175438596,11.84354389719964,15.334736842105263,84.89,19.65,3.75,15.5,19.0,11.4,2.3552631578947367
2022-04-10,35,720.4499999999999,2.3405714285714287,45.0,10.701904761904762,12.627847253248168,13.816,107.78999999999999,13.1,2.5,31.5,16.5,10.5,2.342857142857143
2022-04-11,30,497.28000000000003,2.567333333333333,36.0,12.485555555555555,12.038219722388725,10.579,54.36,19.65,0.0,46.75,14.5,8.4,2.316666666666667
2022-04-12,33,617.58,3.1760606060606063,45.0,15.528787878787881,11.510287986409619,12.196969696969697,100.23,6.55,2.5,38.5,15.5,9.299999999999999,2.0454545454545454
2022-04-13,30,668.97,3.8793333333333333,40.0,16.113333333333333,13.263000994884639,15.166666666666666,90.37,13.1,2.5,19.0,15.0,9.0,2.5
2022-04-14,38,836.97,3.116052631578947,59.0,15.2390350877193,11.667546730887517,14.421052631578947,125.77,26.2,3.75,36.25,18.0,10.799999999999999,2.4342105263157894
2022-04-15,37,860.91,3.5454054054054054,61.0,17.2009009009009,11.17878132961646,15.694594594594596,98.81,39.3,5.0,38.75,18.5,11.1,2.4324324324324325
2022-04-16,34,765.55,4.040588235294117,48.0,16.087254901960787,13.69414330593785,16.058823529411764,102.05,6.55,1.25,38.0,16.5,10.2,2.2794117647058822
2022-04-17,29,576.63,3.8320689655172413,46.0,12.813218390804597,15.716813966164226,13.873103448275861,49.91,26.2,5.0,18.75,14.5,8.7,2.310344827586207
2022-04-18,22,485.31,4.546818181818182,27.0,14.315151515151515,13.092475029424303,15.318181818181818,64.71,13.1,2.5,25.75,10.0,6.0,2.0454545454545454
2022-04-19,23,431.07,2.824347826086956,44.0,14.38623188405797,9.95974525982139,12.478260869565217,52.62,6.55,0.0,26.5,11.5,6.8999999999999995,2.5
2022-04-20,31,683.81,3.8406451612903227,42.0,18.136021505376345,10.403885293090756,15.389354838709677,87.99,6.55,2.5,37.75,14.5,8.7,2.2419354838709675
2022-04-21,36,850.04,3.901666666666667,48.0,17.264814814814812,12.467311342369367,15.694722222222222,98.88,45.85,2.5,46.5,18.0,10.799999999999999,2.4166666666666665
2022-04-22,34,639.7,2.729117647058824,45.0,14.050980392156863,10.778302249836184,11.985294117647058,93.65,13.1,1.25,37.0,17.0,10.2,2.426470588235294
2022-04-23,29,501.57,2.932758620689655,37.0,11.861494252873564,12.9871050904365,11.620689655172415,62.32,6.55,2.5,10.0,14.5,8.7,2.2413793103448274
2022-04-24,27,549.41,3.842222222222222,35.0,14.02530864197531,15.516533078453174,14.237407407407407,63.05,13.1,1.25,21.0,13.5,8.1,2.2777777777777777
2022-04-25,29,844.38,5.954827586206896,35.0,20.601149425287353,15.456939126749136,20.728275862068966,80.81,52.0,8.75,35.25,14.0,8.7,2.103448275862069
2022-04-26,38,1000.38,4.940789473684211,45.0,18.498245614035085,13.954564739555876,17.58421052631579,151.53,32.75,7.5,47.5,19.0,11.4,2.3026315789473686
2022-04-27,35,640.4300000000001,2.5820000000000003,52.0,12.205714285714285,12.146722812898814,11.3,89.28,19.65,5.0,54.25,17.5,10.5,2.4285714285714284
2022-04-28,40,669.64,2.5635,59.0,14.49375,10.081435464851563,11.01325,92.21,6.55,2.5,38.5,18.0,10.799999999999999,2.175
2022-04-29,31,683.37,3.7345161290322584,50.0,17.38763440860215,12.142962183147917,15.275483870967742,82.68,13.1,3.75,36.75,15.5,9.299999999999999,2.306451612903226
2022-04-30,42,742.09,2.1888095238095238,64.0,11.028571428571428,12.112759844001598,11.809761904761904,104.98,0.0,0.0,33.0,20.5,12.6,2.357142857142857
